# A. Ravlić, Y. Saito, and W. Nazarewicz in preparation (2025).
# Calculations with axially-deformed RHB+pnQRPA using the DD-PCX interaction (ver1.0).
# Generated: 2025-10-29 16:18:43
#
# Columns:
#   N          : Neutron number.
#   Z          : Proton number.
#   E(beta)    : Binding energy (MeV) for the min-E configuration
#   beta2      : Mass quadrupole deformation beta2 (dimensionless) at min-E.
#   Q          : beta- Q-value (MeV).
#   HL_log10   : log10 of the total half-life (log10 seconds).
#   FF_percent : % contribution of first-forbidden (FF) transitions to the total decay rate,
#
# N Z E(beta) beta2 Q HL_log10 FF_percent
48 23 -531.84065000 0.23393768 21.52662000 -2.466002 33.05
49 23 -532.00066000 0.20758144 23.54454000 -2.562226 37.87
50 23 -532.93653000 -0.02506712 23.25863000 -2.694857 41.70
51 23 -532.81976000 0.12146944 24.94597000 -2.720845 43.62
52 23 -533.56075000 0.14589666 24.27781000 -2.759128 44.75
53 23 -532.89831000 0.05804433 26.01235000 -2.803357 45.73
54 23 -533.35983000 0.10485416 25.23109000 -2.846912 46.87
55 23 -532.47166000 -0.02787716 26.84214000 -2.878366 47.67
56 23 -532.59932000 -0.03317033 26.04383000 -2.914186 48.26
29 24 -463.07861000 0.16414809 NaN NaN NaN
30 24 -472.33910000 0.22223715 NaN NaN NaN
31 24 -479.23465000 0.23874806 NaN NaN NaN
32 24 -487.24780000 0.21493401 2.36748000 9.156656 85.66
33 24 -493.28894000 0.20539709 4.96863000 0.345261 0.00
34 24 -500.39626000 0.18210148 4.59564000 -0.417451 0.00
35 24 -505.61109000 0.16416368 7.05994000 -0.557429 0.00
36 24 -512.18582000 0.12173198 6.26181000 -0.956822 0.00
37 24 -516.93410000 0.08010307 8.60455000 -1.217341 0.00
38 24 -523.37299000 -0.00009754 7.42428000 -1.368461 0.00
39 24 -527.25727000 -0.05237194 10.62654000 -1.247182 0.00
40 24 -533.60218000 -0.00000887 8.88359000 -1.565029 0.00
41 24 -535.58834000 -0.04308226 13.77142000 -1.650145 1.23
