# A. Ravlić, Y. Saito, and W. Nazarewicz in preparation (2025).
# Calculations with axially-deformed RHB+pnQRPA using the DD-PC1 interaction (ver1.0).
# Generated: 2025-11-03 07:18:58
#
# Columns:
#   N          : Neutron number.
#   Z          : Proton number.
#   E(beta)    : Binding energy (MeV) for the min-E configuration
#   beta2      : Mass quadrupole deformation beta2 (dimensionless) at min-E.
#   Q          : beta- Q-value (MeV).
#   HL_log10   : log10 of the total half-life (log10 seconds).
#   FF_percent : % contribution of first-forbidden (FF) transitions to the total decay rate,
#
# N Z E(beta) beta2 Q HL_log10 FF_percent
126 53 -1235.87340000 -0.00437922 20.32840000 -2.862232 71.89
80 54 -1129.86870000 0.01004450 NaN NaN NaN
81 54 -1137.38550000 0.04604655 NaN NaN NaN
82 54 -1146.27320000 0.00056776 NaN NaN NaN
83 54 -1148.88890000 0.05615936 NaN NaN NaN
84 54 -1153.35000000 0.09594309 4.62310000 1.083713 13.74
85 54 -1157.16470000 0.12916112 5.57070000 0.824050 16.85
86 54 -1162.13650000 0.14712604 4.67700000 0.485106 18.54
87 54 -1166.00360000 0.16672630 5.90110000 0.221858 28.70
88 54 -1170.76610000 0.18110270 5.44340000 0.017517 29.87
89 54 -1173.96250000 0.18843616 7.58960000 -0.281857 42.55
90 54 -1178.28850000 0.19435151 6.95430000 -0.393137 34.54
91 54 -1181.41810000 0.20223665 8.49660000 -0.590289 40.86
92 54 -1185.33350000 0.21003370 8.12090000 -0.704748 39.96
93 54 -1188.21020000 0.22405530 9.56180000 -0.902377 47.30
94 54 -1192.05430000 0.23350208 8.99030000 -0.975856 45.02
95 54 -1194.83040000 0.24997145 10.42290000 -1.144797 50.09
96 54 -1198.56490000 0.26275108 9.83560000 -1.214909 48.68
97 54 -1201.30840000 0.28288455 11.16280000 -1.341837 52.12
98 54 -1204.85090000 0.29370526 10.71040000 -1.406569 50.90
99 54 -1207.41840000 0.30906539 11.99090000 -1.518356 52.90
100 54 -1210.75950000 0.32259280 11.48580000 -1.576830 53.43
101 54 -1212.94100000 0.31806001 12.93820000 -1.657778 55.73
102 54 -1215.89290000 0.31061001 12.36850000 -1.712224 54.73
103 54 -1217.83250000 0.31304884 13.65130000 -1.799348 56.66
104 54 -1220.59460000 0.29659510 13.07250000 -1.851925 55.94
105 54 -1222.38500000 0.29076107 14.30290000 -1.935630 57.36
106 54 -1224.94790000 0.28703763 13.77390000 -1.978242 57.72
107 54 -1226.52120000 0.28392168 15.01490000 -2.042353 59.52
108 54 -1228.90270000 0.27656355 14.42860000 -2.085748 59.92
109 54 -1230.18490000 0.27501213 15.76800000 -2.149036 61.81
110 54 -1232.43860000 0.26199792 15.05730000 -2.182349 62.14
111 54 -1233.65070000 0.26114568 16.28240000 -2.244154 63.74
112 54 -1235.65470000 0.20941295 15.73690000 -2.260511 62.36
113 54 -1236.78530000 0.19945902 16.81230000 -2.318346 63.27
114 54 -1238.99640000 0.17476756 16.06440000 -2.341268 62.71
115 54 -1240.13310000 0.16587932 17.37730000 -2.393280 63.73
116 54 -1242.23240000 0.14872416 16.64880000 -2.410782 64.00
117 54 -1243.30120000 0.13721768 17.94750000 -2.449176 65.03
118 54 -1245.34800000 0.12174139 17.14340000 -2.474023 65.63
119 54 -1246.39190000 0.10940214 18.34050000 -2.510566 66.73
120 54 -1248.39110000 0.09340766 17.52600000 -2.538313 67.41
121 54 -1249.42380000 0.08270392 18.65850000 -2.581210 68.51
122 54 -1251.40990000 0.05935699 17.87590000 -2.604995 69.14
123 54 -1252.50750000 0.03938881 18.90140000 -2.644856 70.13
124 54 -1254.66530000 -0.00002125 18.03130000 -2.675893 70.61
125 54 -1255.41980000 0.02965732 19.72620000 -2.729291 71.48
126 54 -1257.81410000 0.00000009 18.26240000 -2.763240 71.84
83 55 -1157.19110000 0.05791249 6.36830000 1.724042 13.72
84 55 -1161.95340000 0.09184228 4.95060000 1.407480 11.60
85 55 -1166.03150000 0.12433337 5.78110000 1.189197 15.22
86 55 -1171.12270000 0.14152112 5.08680000 0.804686 21.45
87 55 -1175.42750000 0.17782766 6.34730000 0.708323 2.78
88 55 -1180.77010000 0.19155772 5.61210000 0.370011 25.24
89 55 -1184.46080000 0.19780771 7.46160000 0.108433 25.43
90 55 -1189.13270000 0.20427449 6.74910000 -0.109644 29.34
91 55 -1192.67240000 0.21141513 8.30790000 -0.318999 36.26
92 55 -1196.99000000 0.21956323 7.89150000 -0.466212 36.77
93 55 -1200.26260000 0.23267338 9.27920000 -0.703633 47.34
94 55 -1204.47130000 0.24179015 8.73320000 -0.780590 43.66
95 55 -1207.61850000 0.25570965 10.23010000 -0.975562 49.98
96 55 -1211.68920000 0.26717055 9.74590000 -1.054085 48.08
97 55 -1214.77930000 0.28387506 11.22200000 -1.174086 49.50
98 55 -1218.62730000 0.29417815 10.82080000 -1.264204 50.61
99 55 -1221.46330000 0.30779040 12.18100000 -1.383110 52.80
100 55 -1225.09720000 0.32248140 11.59020000 -1.448692 54.40
101 55 -1227.47940000 0.31457892 13.25360000 -1.537628 57.19
102 55 -1230.70180000 0.30533961 12.52870000 -1.596757 56.09
103 55 -1232.88510000 0.30554683 13.83520000 -1.689193 58.16
104 55 -1235.90590000 0.29048180 13.26190000 -1.743670 57.24
105 55 -1237.93980000 0.28521710 14.41120000 -1.831413 58.63
106 55 -1240.75410000 0.28201322 13.85300000 -1.874671 58.91
107 55 -1242.54930000 0.27875905 15.15240000 -1.939884 60.69
108 55 -1245.17090000 0.27280840 14.56330000 -1.985455 60.94
109 55 -1246.71390000 0.27064403 15.91210000 -2.049076 62.77
110 55 -1249.15110000 0.26239735 15.29810000 -2.088373 63.04
111 55 -1250.60960000 0.26103239 16.55260000 -2.152989 64.66
112 55 -1252.81560000 0.20602366 16.07820000 -2.158653 63.33
113 55 -1254.27880000 0.19370093 17.00740000 -2.217911 63.95
114 55 -1256.72840000 0.17649047 16.10870000 -2.246174 63.63
115 55 -1258.09920000 0.16537916 17.27970000 -2.299978 64.55
116 55 -1260.46670000 0.15339035 16.36420000 -2.327040 64.87
117 55 -1261.70940000 0.14088011 17.78020000 -2.364223 65.89
118 55 -1263.95040000 0.12879270 16.92810000 -2.397836 66.44
119 55 -1265.13510000 0.11614536 18.29380000 -2.433348 67.56
120 55 -1267.30030000 0.10422069 17.59850000 -2.468989 68.21
121 55 -1268.50380000 0.09454611 18.77730000 -2.513158 69.42
122 55 -1270.62690000 0.07576382 18.13010000 -2.538452 70.09
123 55 -1271.91460000 0.04822836 19.25170000 -2.571751 71.28
124 55 -1274.36400000 0.00992009 18.40240000 -2.599214 71.85
125 55 -1275.29450000 0.02471364 20.23250000 -2.651396 72.79
126 55 -1278.02590000 0.00481949 18.68420000 -2.688628 73.08
82 56 -1162.77740000 0.00049216 NaN NaN NaN
83 56 -1166.12200000 -0.03938568 NaN NaN NaN
84 56 -1171.03060000 0.07697856 2.99260000 1.948120 9.13
85 56 -1175.42750000 0.12351386 3.94260000 1.824259 10.69
86 56 -1180.99280000 0.14874372 2.91940000 1.476647 8.39
87 56 -1185.60020000 0.17240451 4.21160000 1.144758 16.62
88 56 -1191.14040000 0.19174294 3.61400000 0.899606 14.66
89 56 -1195.09980000 0.20038335 5.56560000 0.517295 22.30
90 56 -1200.19830000 0.20643491 4.79750000 0.331660 19.44
91 56 -1204.09950000 0.21483435 6.37070000 0.077746 27.16
92 56 -1208.75980000 0.22479484 6.00610000 -0.084808 28.26
93 56 -1212.42250000 0.24059973 7.59690000 -0.357310 41.79
94 56 -1217.06660000 0.27690009 7.22850000 -0.463277 40.25
95 56 -1220.65310000 0.30211207 8.64040000 -0.640549 45.31
96 56 -1225.21930000 0.29852459 8.05500000 -0.753175 43.16
97 56 -1228.66610000 0.30520202 9.35230000 -0.899223 45.40
98 56 -1232.86230000 0.31550619 8.94660000 -0.991876 46.49
99 56 -1235.90540000 0.32102515 10.31180000 -1.135353 48.24
100 56 -1239.95100000 0.33743426 9.66550000 -1.212970 50.76
101 56 -1242.44850000 0.32708787 11.45860000 -1.316089 54.55
102 56 -1245.93830000 0.32051567 10.76680000 -1.378985 53.36
103 56 -1248.38580000 0.31528613 12.00070000 -1.490202 55.99
104 56 -1251.56900000 0.30054756 11.48290000 -1.553518 55.22
105 56 -1253.82510000 0.28978450 12.55580000 -1.654256 56.90
106 56 -1256.91970000 0.28669904 11.93510000 -1.704950 57.37
107 56 -1258.95220000 0.28113776 13.31900000 -1.779116 59.65
108 56 -1261.84400000 0.27287983 12.70480000 -1.826037 59.77
109 56 -1263.66720000 0.26926326 14.00490000 -1.897415 61.96
110 56 -1266.38020000 0.25876203 13.33370000 -1.938250 62.23
111 56 -1268.11180000 0.25492084 14.44000000 -2.009370 64.09
112 56 -1270.50420000 0.23152155 14.03920000 -2.033618 63.47
113 56 -1272.05510000 0.21611364 15.25300000 -2.092390 64.08
114 56 -1274.59690000 0.18686006 14.54550000 -2.119212 62.95
115 56 -1276.04890000 0.16961089 15.75880000 -2.175126 63.82
116 56 -1278.70760000 0.15745205 14.59990000 -2.210727 64.38
117 56 -1280.09650000 0.14593963 16.00680000 -2.272911 65.73
118 56 -1282.64690000 0.12952747 14.87870000 -2.288471 66.33
119 56 -1284.11680000 0.11893104 15.98200000 -2.338561 67.61
120 56 -1286.49910000 0.10151942 15.29920000 -2.359017 68.32
121 56 -1287.97500000 0.08801529 16.76600000 -2.398435 69.51
122 56 -1290.38430000 0.05923108 16.19930000 -2.416151 70.31
123 56 -1291.98440000 0.04054780 17.27700000 -2.458073 71.40
124 56 -1294.74500000 0.00000359 16.35180000 -2.489275 71.86
125 56 -1295.92810000 0.00008935 17.96680000 -2.555310 72.25
126 56 -1298.94770000 0.00000614 16.46830000 -2.583430 73.14
83 57 -1173.24120000 0.04874854 NaN NaN NaN
84 57 -1178.58810000 0.06205934 3.43380000 2.453746 9.19
85 57 -1183.13020000 0.12477612 4.40230000 2.469712 0.00
86 57 -1189.02980000 0.14623364 3.20310000 2.060676 2.08
87 57 -1193.97240000 0.17650720 4.37150000 1.701550 9.13
88 57 -1199.88340000 0.19343478 3.75870000 1.374520 9.54
89 57 -1204.21380000 0.19943435 5.65130000 0.916084 5.94
90 57 -1209.68820000 0.20738524 4.84770000 0.700674 14.19
91 57 -1213.98390000 0.29349882 6.36450000 0.388967 50.04
92 57 -1219.23740000 0.30719066 6.32820000 0.229753 42.80
93 57 -1223.51310000 0.31370946 7.76640000 -0.002762 40.89
94 57 -1228.51150000 0.31348177 7.33490000 -0.211780 42.16
95 57 -1232.49230000 0.31863293 8.73760000 -0.412939 44.29
96 57 -1237.23640000 0.31946780 8.34530000 -0.552728 46.35
97 57 -1241.02690000 0.32719339 9.64440000 -0.728086 51.08
98 57 -1245.43520000 0.32085860 9.41500000 -0.861527 48.63
99 57 -1248.83450000 0.34465617 10.75770000 -0.979800 54.84
100 57 -1253.12510000 0.33735645 10.27240000 -1.103435 49.96
101 57 -1255.92310000 0.34737435 11.93610000 -1.234037 54.09
102 57 -1259.60450000 0.32817906 11.31800000 -1.289059 51.50
103 57 -1262.26990000 0.32221586 12.39230000 -1.404130 53.97
104 57 -1265.59890000 0.31358456 11.92540000 -1.465869 53.50
105 57 -1268.07280000 0.28663843 13.01610000 -1.515247 56.95
106 57 -1271.48920000 0.28534456 12.22230000 -1.580058 58.28
107 57 -1273.76680000 0.28080121 13.61460000 -1.662417 60.83
108 57 -1276.89010000 0.27434763 12.93800000 -1.718274 61.06
109 57 -1278.93190000 0.27056858 14.30220000 -1.793935 63.02
110 57 -1281.76980000 0.26279474 13.82240000 -1.846693 63.55
111 57 -1283.76140000 0.24582687 14.99600000 -1.902622 65.31
112 57 -1286.52610000 0.23254435 14.36650000 -1.939173 64.94
113 57 -1288.36040000 0.21948631 15.47990000 -1.995993 65.50
114 57 -1291.02570000 0.19781119 14.66110000 -2.029832 64.00
115 57 -1292.52550000 0.19360168 15.83650000 -2.092806 65.88
116 57 -1295.32130000 0.17107747 14.74170000 -2.127988 64.68
117 57 -1296.74360000 0.16174140 16.23890000 -2.192721 65.70
118 57 -1299.31680000 0.14564038 15.40360000 -2.207593 66.23
119 57 -1301.01630000 0.09276593 16.46530000 -2.210934 69.19
120 57 -1303.95900000 0.07768006 15.38540000 -2.241032 69.87
121 57 -1305.80160000 0.06672391 16.81980000 -2.290101 71.00
122 57 -1308.47940000 0.05131102 16.39630000 -2.329912 71.52
123 57 -1310.31480000 0.04494398 17.86410000 -2.383892 72.57
124 57 -1313.11290000 0.02779627 17.21420000 -2.420870 73.03
125 57 -1314.63400000 0.02244970 18.91750000 -2.484963 73.56
126 57 -1317.67590000 0.01380168 17.78790000 -2.515427 74.53
83 58 -1181.23990000 -0.03479491 NaN NaN NaN
84 58 -1186.75050000 -0.00348794 NaN NaN NaN
85 58 -1191.45090000 0.11358434 NaN NaN NaN
86 58 -1197.56190000 0.14619553 1.31010000 3.167733 1.37
87 58 -1202.86010000 0.17577062 2.41120000 2.516721 8.08
88 58 -1209.08310000 0.19875786 1.71090000 2.173992 4.49
89 58 -1213.75390000 0.20285212 3.72340000 1.400959 9.17
90 58 -1219.56640000 0.21733290 3.03580000 1.281392 10.39
91 58 -1224.78360000 0.30314790 4.24740000 1.017316 43.60
92 58 -1230.49750000 0.32541970 4.30970000 0.775422 47.61
93 58 -1235.06440000 0.32813321 5.79660000 0.416893 45.70
94 58 -1240.44790000 0.32583712 5.34220000 0.221162 32.93
95 58 -1244.79970000 0.32922344 6.76170000 -0.042469 33.78
96 58 -1249.88930000 0.33045066 6.38600000 -0.174535 33.81
97 58 -1254.06820000 0.33644686 7.62810000 -0.398183 42.45
98 58 -1258.81020000 0.34199360 7.40150000 -0.484460 40.73
99 58 -1262.61550000 0.35256696 8.63150000 -0.689312 47.88
100 58 -1267.07720000 0.35404157 8.28790000 -0.757772 45.91
101 58 -1270.14050000 0.36001877 9.91810000 -0.920435 55.65
102 58 -1273.88020000 0.34493769 9.51410000 -0.978233 53.63
103 58 -1276.74230000 0.33603811 10.60560000 -1.123554 57.75
104 58 -1280.30690000 0.31934123 10.12050000 -1.196592 55.33
105 58 -1282.92950000 0.29938421 11.23800000 -1.318867 56.39
106 58 -1286.59940000 0.29705493 10.31450000 -1.383578 57.19
107 58 -1289.04610000 0.28787142 11.83610000 -1.475430 60.34
108 58 -1292.45210000 0.27824299 11.04350000 -1.528672 59.82
109 58 -1294.81020000 0.27220759 12.27750000 -1.618636 62.54
110 58 -1297.97540000 0.26357545 11.61280000 -1.672268 62.63
111 58 -1300.11060000 0.26051983 12.72810000 -1.765653 64.95
112 58 -1303.05830000 0.25205851 11.99360000 -1.814538 65.32
113 58 -1304.90480000 0.23492703 13.27300000 -1.860528 65.90
114 58 -1307.58000000 0.21085660 12.55470000 -1.892245 63.75
115 58 -1309.28100000 0.20122926 13.70780000 -1.955778 65.32
116 58 -1312.20050000 0.17663314 12.73910000 -1.985677 64.29
117 58 -1313.93840000 0.16321617 14.00170000 -2.047094 65.57
118 58 -1316.69960000 0.13869324 13.29250000 -2.048962 66.37
119 58 -1318.56240000 0.11754342 14.50620000 -2.090696 68.18
120 58 -1321.83940000 0.00004357 13.32590000 -2.086343 70.73
121 58 -1324.09370000 0.00011320 14.15810000 -2.150712 71.63
122 58 -1327.39690000 0.00003433 13.10520000 -2.196631 72.12
123 58 -1329.54510000 0.00007898 14.39100000 -2.260493 72.77
124 58 -1332.76950000 0.00002353 13.55320000 -2.302239 73.53
125 58 -1334.68180000 0.00006060 14.92100000 -2.367759 73.92
126 58 -1337.91900000 0.00001178 13.83320000 -2.403026 75.02
85 59 -1198.09000000 0.09970813 NaN NaN NaN
86 59 -1204.48930000 0.14012910 NaN NaN NaN
87 59 -1210.01200000 0.18614250 2.82130000 2.223406 0.19
88 59 -1216.69530000 0.20654632 2.11990000 1.895346 0.56
89 59 -1221.82020000 0.24422294 3.92990000 2.250636 47.10
90 59 -1228.24900000 0.28872899 3.11840000 1.304222 5.60
91 59 -1234.02520000 0.31248587 4.11570000 1.254196 3.24
92 59 -1240.07900000 0.33327712 4.25050000 0.878830 59.28
93 59 -1245.00810000 0.33630812 6.09440000 0.705791 54.44
94 59 -1250.77940000 0.33611695 5.51430000 0.434095 44.41
95 59 -1255.49330000 0.33908013 6.85880000 0.142542 37.52
96 59 -1260.91430000 0.34153475 6.46850000 -0.007833 38.18
97 59 -1265.42970000 0.34525363 7.67700000 -0.168271 31.20
98 59 -1270.46500000 0.35121459 7.44570000 -0.351934 44.14
99 59 -1274.58310000 0.35761170 8.76500000 -0.559942 50.47
100 59 -1279.27660000 0.35876647 8.55310000 -0.641824 47.32
101 59 -1282.61230000 0.36245315 10.13320000 -0.832609 56.55
102 59 -1286.56590000 0.35433958 9.85500000 -0.887519 54.64
103 59 -1289.64540000 0.34567397 10.91540000 -1.039987 58.03
104 59 -1293.38550000 0.33179746 10.44990000 -1.115988 54.32
105 59 -1296.13190000 0.32724990 11.71360000 -1.240061 57.67
106 59 -1300.10020000 0.30191502 10.76020000 -1.291221 56.02
107 59 -1302.71360000 0.29453239 12.30750000 -1.385999 59.51
108 59 -1306.30570000 0.28696806 11.46280000 -1.437120 58.68
109 59 -1308.80620000 0.28141758 12.80280000 -1.527381 61.64
110 59 -1312.05670000 0.27411020 12.31910000 -1.580888 61.91
111 59 -1314.26990000 0.27052806 13.61440000 -1.678774 64.57
112 59 -1317.39580000 0.25538213 12.97730000 -1.720276 66.44
113 59 -1319.35270000 0.23768546 14.49910000 -1.759370 67.18
114 59 -1322.20680000 0.21539835 13.60850000 -1.791735 65.00
115 59 -1324.15760000 0.20294752 14.64520000 -1.856272 66.13
116 59 -1327.15810000 0.18091441 13.69900000 -1.890215 65.30
117 59 -1329.21010000 0.15963848 14.81830000 -1.923969 67.47
118 59 -1332.28660000 0.13115024 13.94510000 -1.927792 67.86
119 59 -1334.38330000 0.11842097 14.96690000 -1.976392 69.16
120 59 -1337.46980000 -0.07879390 14.24120000 -2.011814 70.75
121 59 -1339.72010000 -0.07507695 15.37390000 -2.078622 71.92
122 59 -1343.15410000 -0.04576058 14.33300000 -2.103632 72.27
123 59 -1345.54070000 -0.03532178 15.47630000 -2.161372 73.18
124 59 -1348.82080000 -0.02055512 14.80970000 -2.204737 73.86
125 59 -1350.97020000 -0.02634379 16.28410000 -2.273653 74.21
126 59 -1354.34560000 -0.00980804 15.24890000 -2.310502 75.42
86 60 -1212.05130000 0.14470494 NaN NaN NaN
87 60 -1218.03320000 0.18095374 NaN NaN NaN
88 60 -1224.96810000 0.20905553 NaN NaN NaN
89 60 -1230.58540000 0.24985786 NaN NaN NaN
90 60 -1237.35890000 0.29052866 NaN NaN NaN
91 60 -1243.54750000 0.32019950 NaN NaN NaN
92 60 -1250.32050000 0.34700994 2.03330000 3.208167 73.58
93 60 -1255.51170000 0.34777559 3.79630000 1.765978 17.34
94 60 -1261.57010000 0.34951745 3.21770000 1.138937 16.94
95 60 -1266.60080000 0.35164595 4.72760000 0.634382 17.75
96 60 -1272.32470000 0.35400840 4.39240000 0.549718 20.20
97 60 -1277.12870000 0.35391012 5.65730000 0.272053 26.81
98 60 -1282.56610000 0.36239183 5.36760000 0.156732 27.08
99 60 -1287.04770000 0.36652181 6.59850000 -0.042980 31.44
100 60 -1291.96350000 0.36722702 6.47230000 -0.118628 34.07
101 60 -1295.63890000 0.37017848 7.98280000 -0.413230 58.62
102 60 -1299.77880000 0.36688823 7.86870000 -0.498384 57.44
103 60 -1303.05340000 0.35258078 9.07350000 -0.704497 62.99
104 60 -1307.06350000 0.33631912 8.60950000 -0.790865 56.59
105 60 -1310.07840000 0.32539110 9.83710000 -0.968085 57.14
106 60 -1314.23910000 0.31208013 8.86120000 -1.021891 57.67
107 60 -1316.98650000 0.30224703 10.45770000 -1.135145 62.61
108 60 -1320.82700000 0.29345679 9.56310000 -1.182374 61.10
109 60 -1323.59380000 0.28649105 10.87510000 -1.291941 64.24
110 60 -1327.10230000 0.27746484 10.34470000 -1.345154 64.35
111 60 -1329.59110000 0.27181205 11.51200000 -1.457190 66.78
112 60 -1333.06980000 0.26723824 10.69120000 -1.528208 67.77
113 60 -1335.03330000 0.24973370 12.43910000 -1.573344 68.70
114 60 -1338.02080000 0.22555928 11.54720000 -1.605777 65.53
115 60 -1340.07510000 0.21071347 12.59940000 -1.677072 66.63
116 60 -1343.24640000 0.18522318 11.64730000 -1.712908 65.66
117 60 -1345.44970000 0.16900488 12.74340000 -1.782548 67.03
118 60 -1348.56820000 -0.13264271 12.14190000 -1.753422 68.53
119 60 -1350.92900000 -0.11824841 13.14130000 -1.818764 70.06
120 60 -1354.31200000 -0.09607274 12.20700000 -1.851251 70.77
121 60 -1356.70510000 -0.08550565 13.23850000 -1.921140 72.13
122 60 -1360.23500000 -0.04752849 12.25980000 -1.943581 72.75
123 60 -1362.84850000 -0.02581747 13.29210000 -2.002212 73.86
124 60 -1366.47230000 0.00008689 12.42070000 -2.046976 74.46
125 60 -1368.81250000 0.00020718 13.79070000 -2.118776 74.67
126 60 -1372.48930000 0.00002940 12.70950000 -2.163146 75.83
91 61 -1251.57180000 0.31886809 2.10330000 4.905787 90.39
92 61 -1258.52600000 0.33964129 1.93160000 4.751538 84.90
93 61 -1264.00580000 0.34048523 3.65540000 2.142020 10.81
94 61 -1270.54640000 0.34205677 3.01670000 1.486676 11.63
95 61 -1275.93510000 0.34473820 4.48300000 1.011584 16.66
96 61 -1282.00400000 0.34800586 4.19010000 0.851615 19.10
97 61 -1287.15170000 0.34986411 5.45740000 0.541554 29.19
98 61 -1292.86420000 0.35720849 5.23410000 0.418749 28.01
99 61 -1297.65380000 0.36155836 6.55200000 0.215213 32.37
100 61 -1302.83970000 0.36288975 6.53410000 0.130955 36.39
101 61 -1306.86550000 0.36625116 7.98790000 -0.214741 63.49
102 61 -1311.34490000 0.36276642 7.98240000 -0.285911 59.00
103 61 -1314.89100000 0.35528439 9.17130000 -0.470542 62.54
104 61 -1319.13350000 0.34963235 8.73860000 -0.604561 59.49
105 61 -1322.31830000 0.34620258 10.18130000 -0.751014 61.73
106 61 -1326.66220000 0.31553523 9.46860000 -0.921119 58.96
107 61 -1329.60810000 0.30753416 11.02360000 -1.039589 63.99
108 61 -1333.68690000 0.30065288 9.98690000 -1.083938 61.90
109 61 -1336.66500000 0.29365774 11.29870000 -1.197285 64.49
110 61 -1340.32110000 0.28521282 10.82390000 -1.253246 63.95
111 61 -1342.97900000 0.27665473 12.01260000 -1.359914 65.60
112 61 -1346.69040000 0.27021679 11.14230000 -1.409597 70.33
113 61 -1348.78600000 0.25336440 13.03570000 -1.457823 71.45
114 61 -1351.89250000 0.23150070 12.12570000 -1.493268 68.41
115 61 -1354.11170000 0.21554465 13.15570000 -1.566590 69.27
116 61 -1357.41110000 0.18930676 12.25710000 -1.602325 68.23
117 61 -1359.92810000 -0.16580922 13.38260000 -1.648453 66.83
118 61 -1363.28830000 -0.14961242 12.75450000 -1.684292 66.88
119 61 -1365.73700000 -0.13734393 13.79950000 -1.754933 68.19
120 61 -1369.16160000 -0.10918245 12.99580000 -1.745772 72.68
121 61 -1371.71280000 -0.09435881 13.99710000 -1.813609 74.14
122 61 -1375.35860000 -0.07076365 13.02720000 -1.847497 74.52
123 61 -1378.11100000 -0.03606812 14.02090000 -1.893563 75.71
124 61 -1381.82120000 -0.01068795 13.13150000 -1.940830 75.99
125 61 -1384.41680000 -0.02400882 14.49790000 -2.020713 76.34
126 61 -1388.24950000 -0.00369538 13.46960000 -2.066831 77.29
90 62 -1252.89310000 0.29098687 NaN NaN NaN
91 62 -1259.67560000 0.31273267 NaN NaN NaN
92 62 -1266.87920000 0.33290647 NaN NaN NaN
93 62 -1272.78110000 0.33229777 NaN NaN NaN
94 62 -1279.63610000 0.33782346 1.33180000 2.407416 3.25
95 62 -1285.41210000 0.34131152 2.73470000 1.725292 9.11
96 62 -1291.82710000 0.34572096 2.47350000 1.555658 11.75
97 62 -1297.31630000 0.34807086 3.74130000 1.150905 24.35
98 62 -1303.42380000 0.35749454 3.44110000 1.030434 24.54
99 62 -1308.59180000 0.36238490 4.68500000 0.799840 30.59
100 62 -1314.07140000 0.36416427 4.67530000 0.704605 34.30
101 62 -1318.54530000 0.36827252 5.95340000 0.339112 63.37
102 62 -1323.28030000 0.36590357 6.01020000 0.140903 61.13
103 62 -1327.09010000 0.35236802 7.28970000 -0.196059 50.27
104 62 -1331.71760000 0.34370376 6.89500000 -0.304087 56.19
105 62 -1335.34880000 0.33466757 8.18380000 -0.539555 56.38
106 62 -1339.84970000 0.32480431 7.64090000 -0.607857 58.00
107 62 -1342.89180000 0.31500115 9.27860000 -0.759144 66.08
108 62 -1347.18170000 0.30828155 8.24110000 -0.792368 63.37
109 62 -1350.36300000 0.29960428 9.51550000 -0.923551 67.50
110 62 -1354.20960000 0.29046885 9.03190000 -0.978979 67.28
111 62 -1357.05070000 0.28159439 10.21300000 -1.107075 69.51
112 62 -1361.03970000 0.27630052 9.23250000 -1.186205 70.57
113 62 -1363.23620000 0.25855601 11.25220000 -1.241209 71.73
114 62 -1366.48540000 0.23704595 10.30260000 -1.282508 68.12
115 62 -1368.88620000 0.21571904 11.30600000 -1.378237 67.90
116 62 -1372.52870000 -0.17969828 10.31780000 -1.361051 67.19
117 62 -1375.26080000 -0.17429087 11.47270000 -1.455141 68.93
118 62 -1378.75450000 -0.15927637 10.92310000 -1.491656 69.29
119 62 -1381.37540000 -0.14490948 11.94830000 -1.565489 71.14
120 62 -1384.92790000 -0.12093014 11.14970000 -1.586819 72.20
121 62 -1387.60380000 -0.10339610 12.10600000 -1.655247 74.13
122 62 -1391.34990000 -0.08421316 11.21080000 -1.691018 74.69
123 62 -1394.17070000 -0.03941863 12.22060000 -1.725458 76.71
124 62 -1398.13270000 0.00021279 11.06200000 -1.772458 77.21
125 62 -1400.93710000 0.00057527 12.40770000 -1.854458 77.38
126 62 -1405.01620000 0.00004800 11.36440000 -1.906681 78.32
93 63 -1280.18590000 0.33346240 1.53890000 5.020645 69.87
94 63 -1287.36480000 0.33831117 1.09020000 2.553373 2.93
95 63 -1293.51860000 0.34090887 2.41660000 1.933510 8.42
96 63 -1300.27560000 0.34536416 2.15960000 1.740040 13.38
97 63 -1306.08290000 0.34709947 3.48220000 1.366357 1.33
98 63 -1312.49480000 0.35491521 3.20750000 1.177169 31.62
99 63 -1317.96470000 0.35876091 4.59890000 0.934200 36.85
100 63 -1323.71670000 0.36031286 4.70140000 0.829183 43.39
101 63 -1328.50850000 0.36343331 5.99980000 0.714042 44.71
102 63 -1333.59780000 0.36109517 6.15780000 0.229799 70.42
103 63 -1337.83060000 0.35361986 7.30310000 -0.053276 56.47
104 63 -1342.75060000 0.34649399 6.83680000 -0.178751 60.29
105 63 -1346.70860000 0.33890883 8.04230000 -0.421734 58.67
106 63 -1351.38840000 0.33073048 7.61310000 -0.509399 58.49
107 63 -1354.64080000 0.32430138 9.30980000 -0.700747 65.11
108 63 -1359.09650000 0.31615962 8.46260000 -0.707460 63.46
109 63 -1362.45950000 0.30651500 9.78560000 -0.845077 67.31
110 63 -1366.48170000 0.29747084 9.41320000 -0.904978 66.36
111 63 -1369.49020000 0.28747589 10.70560000 -0.985438 74.06
112 63 -1373.70640000 0.28141353 9.76270000 -1.126736 66.90
113 63 -1376.00600000 0.26220536 11.92390000 -1.156221 69.54
114 63 -1379.41020000 0.24269683 10.95680000 -1.200307 66.63
115 63 -1382.06450000 -0.19091762 11.87130000 -1.198052 69.47
116 63 -1385.95150000 -0.18477802 10.90440000 -1.254221 69.64
117 63 -1388.89560000 -0.18020005 12.06100000 -1.354223 71.25
118 63 -1392.54170000 -0.16913228 11.58330000 -1.397311 71.34
119 63 -1395.29560000 -0.15697374 12.65740000 -1.476659 72.94
